order	family	scientificName
		Gelechioidea
	Dryophthoridae	Sphenophorus simplex
	Dryophthoridae	Sphenophorus sayi
	Dryophthoridae	Sphenophorus phoeniciensis
	Dryophthoridae	Sitophilus granarius
	Dryophthoridae	Scyphophorus yuccae
	Dryophthoridae	Scyphophorus acupunctatus
	Dryophthoridae	Yuccaborus frontalis frontalis
	Dryophthoridae	Sphenophorus australis australis
	Dryophthoridae	Sphenophorus abrasus
	Dryophthoridae	Sphenophorus gentilis
	Dryophthoridae	Sphenophorus venatus glyceriae
	Dryophthoridae	Sphenophorus costipennis
	Dryophthoridae	Sphenophorus
	Dryophthoridae	Rhynchophorinae
		
	Dryophthoridae	Sitophilus
	Strongylocentrotidae	Strongylocentrotus purpuratus
	Heterakidae	Aspidodera
		Acmaeodera emarginata
		Bothynus gibbosus
		BOthynus gibbosus
		bothynus gibbosus
		Lygaeus pyrrhopterus
	Phthiridae	Phthiridae
	Rhipiphoridae	Ripiphorus
		Zorhipis integripennis
		Diamanus montanus
		Phorocontha semopunctata
	Dryophthoridae	Sphenophorus vomerinus
	Tenebriodinae	Eleodes (Blapylis) productus
		Dioedus punctata
		Dynatopoechus aureopilosus
		Nemocestes homi
		Pleurophorus micros
		Acmaeodera near bishopiana
		Dicerca horni horni
		Juvenile
	Solifugidae	Solifugidae
		Chanbria sp
	Orthoptera	Orthoptera
	Lepidoptera	Lepidoptera
		Clidophleps pallida
		Cetoniinae
		Pterosticus lama
		Melanoplus cinereus dealbatus
		Eleodes denipes sublitoralis
		Eleodes hispilabris imitabilis
		Arpbia behrensi
		Zicrona americana
	Apoidea	Apoidea
		Cicindelidia tenuisignata
		Hymenoptera
		Epicauta lauta lauta
		Banasa dimidiata
		Epipauta lauta lauta
		Eupompha elegans elegans
		Pyrrhactia isabella
		Priacama serrata
		Asiocnemis mcclayi
		Diplotaxis impressifrons
	BYUC133341	BYUC133341
	Coccinelidae	Coccinelidae
	Bruchinae	Bruchinae
		Brachytarsus transeria
		Araeaschizus
	Coocinelidae	Coocinelidae
	Philanthidae	Cerceris vanduzeei
	Trypetidae	Neotephritis finalis
	Philanthidae	Cerceris completa
	Hymenoptera	Loxaulus brunneus var. atrior
		Tephrosia nigroseriata
